CONCISE NET LIST - 1  
ACOK_DELAY               C297             1        C_0805-4.7UF,X7R,10%,16V,032-0144-000-032-0144-000,4.7UF
ACOK_DELAY               Q30              1        Q_FET_N_ENH_DFN1006-2N7002BKM,60V,1600MOHM@10V / 2000MOHM@4.5V / [ ]@2.5V,0.22A,1.2A,20V,0.715W,[ ]@10V / 0.6NC@4.5V / [ ]@2.5B
ACOK_DELAY               Q32              3        Q_FET_N_ENH_DFN1006-2N7002BKM,60V,1600MOHM@10V / 2000MOHM@4.5V / [ ]@2.5V,0.22A,1.2A,20V,0.715W,[ ]@10V / 0.6NC@4.5V / [ ]@2.5B
ACOK_DELAY               R136             2        R_0402-510K,5 %,62.5MW,195-0607-000-195-0607-000,510K
ACOK_DELAY               R137             1        R_0402-316K,1 %,62.5MW,195-0246-000-195-0246-000,316K
ACOK_GATE                Q31              3        Q_FET_N_ENH_DFN1006-2N7002BKM,60V,1600MOHM@10V / 2000MOHM@4.5V / [ ]@2.5V,0.22A,1.2A,20V,0.715W,[ ]@10V / 0.6NC@4.5V / [ ]@2.5B
ACOK_GATE                Q32              1        Q_FET_N_ENH_DFN1006-2N7002BKM,60V,1600MOHM@10V / 2000MOHM@4.5V / [ ]@2.5V,0.22A,1.2A,20V,0.715W,[ ]@10V / 0.6NC@4.5V / [ ]@2.5B
ACOK_GATE                R147             2        R_0402-100K,5 %,62.5MW,195-2696-000-100K,195-2696-000
ALS_PROX_INT             J501             H13      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
ALS_PROX_INT             U28              AP36     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
AO_DMIC_IN_CLK_1V8       J501             E16      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
AO_DMIC_IN_CLK_1V8       U517             3        U_LEVSHFT_3STATE_SC70_6-SN74LVC1T45T,LEVEL SHIFTER,115-0711-000-115-0711-000
AO_DMIC_IN_CLK_3V3       U28              B29      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
AO_DMIC_IN_CLK_3V3       U517             4        U_LEVSHFT_3STATE_SC70_6-SN74LVC1T45T,LEVEL SHIFTER,115-0711-000-115-0711-000
AO_DMIC_IN_DAT_1V8       J501             D16      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
AO_DMIC_IN_DAT_1V8       U516             4        U_LEVSHFT_3STATE_SC70_6-SN74LVC1T45T,LEVEL SHIFTER,115-0711-000-115-0711-000
AO_DMIC_IN_DAT_3V3       U28              F27      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
AO_DMIC_IN_DAT_3V3       U516             3        U_LEVSHFT_3STATE_SC70_6-SN74LVC1T45T,LEVEL SHIFTER,115-0711-000-115-0711-000
AP2MDM_READY             J501             A9       CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
AP2MDM_READY             U28              AM21     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
AP2_WAKE_BT              J501             B19      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
AP2_WAKE_BT              U28              AR38     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
AP_WAKE_MODEM            J501             A8       CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
AP_WAKE_MODEM            U28              AN21     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
AUDIO_MCLK               C127             1        C_0402-4.7PF,C0G,0.1PF,50V,032-0606-000-032-0606-000,4.7PF
AUDIO_MCLK               J501             F1       CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
AUDIO_MCLK               LB12             2        L_BEAD_0402-75OHM,FERRITE,25%,[ ],0.25A,1OHM,[ ],N/A,N/A,100-0189-000-100-0189-000,75OHM
AUD_INT_L                J501             H3       CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
AUD_INT_L                U28              AP21     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
AUD_MCLK_L               LB12             1        L_BEAD_0402-75OHM,FERRITE,25%,[ ],0.25A,1OHM,[ ],N/A,N/A,100-0189-000-100-0189-000,75OHM
AUD_MCLK_L               U28              AP23     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
AUD_RST_L                J501             F2       CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
AUD_RST_L                U28              AR21     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
AVDD_DSI_CSI_1V2         C17              1        C_0402-1UF,X7S,10%,6.3V,032-1022-000-032-1022-000,1UF
AVDD_DSI_CSI_1V2         C29              1        C_0805-22UF,X7S,20%,6.3V,032-1088-000-032-1088-000,22UF
AVDD_DSI_CSI_1V2         C688             1        C_0603W-4.7UF,X7S,10%,6.3V,032-1051-000-032-1051-000,4.7UF
AVDD_DSI_CSI_1V2         C689             1        C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000
AVDD_DSI_CSI_1V2         L4               2        L_2520-1UH,METAL ALLOY,20%,3.2A,3.8A,0.042OHM,[ ]@[ ],[ ],0DECIBEL,130-0562-000-130-0562-000,1UH
AVDD_DSI_CSI_1V2         R72              2        R_0402-453OHM,1 %,62.5MW,195-1686-000-195-1686-000,453OHM
AVDD_DSI_CSI_1V2         R131             2        SHUNT_0402_SH-BASE
AVDD_DSI_CSI_1V2         U1               A8       U_PMU_MAX20024_BGA76-MAX20024DGXXJ/V+,0.6V..3.95V,2.6V..5.5V,0MA,PMIC,315-0956-000-315-0956-000
AVDD_DSI_CSI_1V2         U28              J11      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
AVDD_DSI_CSI_1V2         U28              K12      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
AVDD_EPHY_PLL            C272             1        C_0805-4.7UF,X7R,10%,16V,032-0144-000-032-0144-000,4.7UF
AVDD_EPHY_PLL            C505             1        C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000
AVDD_EPHY_PLL            L502             1        L_0603-4.7UH,[ ],20%,0.145A,0.47A,0.24OHM,[ ]@[ ],45MHZ,[ ],130-0094-000-130-0094-000,4.7UH
AVDD_EPHY_PLL            R148             2        R_0402-0OHM,0.05 OHM,63MW,195-1680-000-0OHM,195-1680-000
AVDD_EPHY_PLL            U11              A2       U_VREG_4PIN_BGA4-TCR3DG12,LOW DROP OUT/FIXED,0.275V@0.3A,1.2V..1.2V,18MV,1V,5.5V,0.3A,0.8W,315-0984-000-1V,315-0984-000
AVDD_HSIC                R300             2        R_0402-100OHM,1 %,62.5MW,195-0002-000-100OHM,195-0002-000
