NV_PN,JEDEC_TYPE,DESCRIPTION,COSTS,MPN,MANUFACTURER,COMPLIANCE,LEAD_TIME,SOURCE_EXPANSION,PACK_TYPE,TEMP_RANGE
080-0761-000,CON_TFM_001X004_SMD_ST_M_P013,HDR SMD MALE VERT 1X4 1.27mm PITCH,0.634,TFM-104-02-L-S-K-TR,Samtec,P8E0-A-3,49,CCM,NORM,Parameter N/A
036-0031-000,0603,CAP SCD X7R 0603 .47uF 6V 10%,0.0031,Multi(11),Multi(11),P8E0-B-2,42,SCD,0603,-55degC..125degC
115-0732-000,DFN06_P050_015X010_B,IC SINGLE 2-INPUT POSITIVE-OR GATE SON-6,0.053,SN74LVC1G32DRYR,TI,P8E0-A-1,84,CCM,DFN06,[ ]..[ ]
316-0022-000,DFN14_P050_030X040_T035X018,VREG SWITCH DC/DC STEP DOWN CONVERTER 10A 25V 600KHz QFN-14,0,MP8671DL-LF-Z,Monolithic,P7,111,CCM,DFN14,-40.15degC..84.85degC
130-0894-000,IND_SMD_0201,IND 0201 HIGH FREQUENCY FILM 11.0nH 5.0% 0.24A 1.3ohm 16 500.0MHz 3.2GHz 0.0decibel,0,MHQ0603P11NJT000,TDK,P8E0-A-2,999,CCM,0201,-55.15degC..125.05degC
115-1906-000,BGA_0049_P040_033X033_B_MICRO,IC PROCESSOR CPU WLCSP49 LPC54101J256 256KB FLASH 104KB SRAM 39 GPIO,1.50,LPC54101J256UK49,NXP,P8E0-B-1,112,CCM,WLCSP49,-40.15degC..105.05degC
315-0886-000,QFN028Q_P040_043X043_T026X026,VREG NVDC BATTERY CHARGE CONTROLLER 19.2V 8.12A MAX VQFN-28,[ ],BQ24773RUYR,TI,P8E10,60,CCM,QFN28,-40degC..125degC
315-0736-000,DFN06_P065_020X020_TI063X039,VREG ULTRA LOW DROPOUT LINEAR 0.8V TO 6.5V 500mA TDFN6-2X2,0.059,GS7116NVTD-ADJ-R,NIKO,P8E0-A-2,56,CCM,DFN6_VIAS,-40degC..125degC
115-1455-000,XSOP14_P065_050X044,IC Gates- AND - 2 input 74LVC08APW TSSOP14,0.038,74LVC08APW,NXP,P8E0-B-1,50,CCM,TSSOP14,-40degC..125degC
320-3621-100,EMIPAD_053X040,GROUNDING CLIP TS,0.047,CBK112-2774-A-00,Huizhou Hongda Metals Products,P8E0-A-2,28,MECHANICAL,SMD,0.047
090-0180-000,SOT23,DIODE AUTOMOTIVE SOT23 1Pair - Series Connection 0.8V 0.2A SBAT54SLT1G,0.0198,SBAT54SLT1G~VERA,ON SEMI,P8E0-A-1,63,AUTOMOTIVE,SOT23,-55degC..150degC
195-3229-000,0402,RES SERVER 0402 18.2K 1% 1/16W,0.00112,Multi(4),Multi(4),P8E1-7cI-C-1,70,UNRESTRICTED,0402,-55degC..155degC
195-0673-000,0603,RES SCD 0603 110 1% 1/10W,0.00047,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0603,-55degC..155degC
316-0233-000,BGA_0024_P040_016X024_MICRO,VREG DRIVER BGA24 0.6V 1.5V Power Stage Multi-Phase DCDC,0.301,AS3728-BWLT,AMS-TAOS,P8E8,98,CCM,BGA24,-40degC..125degC
075-0243-000,CON_HDR_002X005_TH_RA_M_P025_SHR,HDR THRU DUAL ROW 2X5 MALE RA 2.54mm PITCH SHROUDED,0.2,2302-10-R-02-3.1-HT,Singatron,P8E2-A-2,49,CCM,NORM,N/A
195-0770-000,0603,RES SCD 0603 17.4K 1% 1/10W,0.00072,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
036-0140-000,0402,CAP X7R 0402 22nF 50V 10%,0.0014,Multi(2),Multi(2),P8E0-A-2,105,UNRESTRICTED,0402,-55degC..125degC
075-0161-000,CON_WAFER232_004_TH_ST_P020,HDR THRU NON-HI TEMP 1X4 MALE VERT WAFER 2mm PITCH SHROUDED BLACK,0.0296,B4B-PH-K-K (LF)(SN),J.S.T.,P8E0-A-2,98,CCM,NORM,N/A
195-0053-000,0402,RES SCD 0402 127 1% 1/16W,0.00026,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
300-0694-000,SOT23,XSTR N-CH DIGITAL FET 25V 0.68A 0.45 OHM MAX @ 4.5V SOT-23,0.023,FDV303N,Fairchild,P8E0-A-1,111,CCM,SMD,-55degC..150degC
195-3394-000,0402,RES SERVER 0402 953K 1% 1/16W,[ ],Multi(4),Multi(4),P8E1-7cI-C-1,999,UNRESTRICTED,0402,-55degC..155degC
085-0248-000,XTAL_SMD_2_032X015,XTAL SMD_32X15 32.768KHz 50.0ppm Fundamental 12.5pF NX3215SA,0.169,EXS00A-MU00516,NDK,P8E8,49,CCM,SMD_32X15,-40degC..105degC
032-0151-000,CAP_SMD_166X166,CAP POL ALE SMD 680.0uF +/- 20.0% 35.0V,[ ],MAL214699007E3,Vishay,P8E10,60,CCM,SMD_D160,-55degC..125degC
195-0883-000,0603,RES SCD 0603 301 1% 1/10W,0.0005,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
